domain,phylum,class,order,family,genus,species,strain,misc,genome,JSONCreated
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas,Sulfurimonas paralvinellae/Sulfurimonas gotlandica,null,null,http://bacteria.ensembl.org/sulfurimonas_gotlandica_gd1_gca_000156095_1/Info/Index,null
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurovum,Sulfurovum lithotrophicum,null,null,not on Ensembl (needs to be searched for),null
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Acetofilamentum,Acetofilamentum rigidum,null,null,not on Ensembl (needs to be searched for),null
Bacteria,Chloroflexi,Chloroflexi,Chloroflexi,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon giganteus,null,null,not on Ensembl (needs to be searched for),null
Bacteria,Chloroflexi,Chloroflexi,Chlorflexales,Chloroflexineae,Oscillochloridaceae,Oscillochloris trichoides,DG6,null,not on ensembl,null
Bacteria,Chloroflexi,Chloroflexi,Chlorflexales,Chloroflexaceae,Chloroflexus,Chlorflexus aurantiacus,J-10-fl,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_0_collection/chloroflexus_aurantiacus_j_10_fl/pep/,Waleed
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,null,null,multiple strains,null
Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria marthii,FSL S4-120,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_24_collection/listeria_marthii_fsl_s4_120/pep/,Waleed
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Thermincola,Thermincola ferriacetica,null,null,not on Ensembl (needs to be searched for),null
Bacteria,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliobacterium,Heliobacterium modesticaldum,null,null,not on enseml,null
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Pelosinus,Pelosinus fermentans,multiple strains,null,null,null
Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,Geothrix fermentans,null,can degrade toluene and other organic compounds. Can use a variety of substances as electron acceptors. G. fermentans are also one of only a few species of freshwater cultivable bacteria that are capable of metal respiration using the electron acceptor Fe (III) oxide.The importance of microorganisms such as Geothrix fermentans over the course of the past two decades have played an important role in understanding certain types of habitats that have been previously misunderstood or not thoroughly explored such as petroleum- contaminated aquifers or hydrothermal vents.,not on Ensembl (needs to be searched for),null
Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,Candidatus Solibacter usitatus Ellin6076,null,http://www.genome.jp/kegg-bin/show_organism?org=sus,not on enseml,null
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,Telmatobacter,Telmatobacter bradus,null,http://www.ncbi.nlm.nih.gov/pubmed/21460138,,null
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces gansen ,null,http://www.mdpi.com/1422-0067/13/7/8679/htm,,null
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,Prosthecobacter dejongeii,null,null,not on Ensembl (needs to be searched for),null
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium,Verrucomicrobium spinosum,null,null,not on Ensembl (needs to be searched for),null
Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Oscillatoriaceae,Oscillatoria,Oscillatoria sp JCM,null,null,this particular strain not on Ensembl (needs to be searched for),null
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Oscillatoriophycideae,Synechocystis,Synechocystis sp. (PCC 6803),null,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_0_collection/synechocystis_sp_pcc_6803_gca_000009725_1/pep/,Waleed
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,JF-1,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_0_collection/methanospirillum_hungatei_jf_1/pep/,null
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus bourgensis,null,http://www.ncbi.nlm.nih.gov/pubmed/22965103,not on Ensembl (needs to be searched for),null
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum parvum,null,http://metanogen.biotech.uni.wroc.pl/methanomicrobia/methanomicrobiales/methanocorpusculaceae/methanocorpusculum/methanocorpusculum-parvum/,not on Ensembl (needs to be searched for),null
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Fursaro,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_19_collection/methanosarcina_barkeri_str_fusaro/pep/,Waleed
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanimicrococcus,Methanimicrococcus blatticola,null,Extinct species.,not on Ensembl (needs to be searched for),null
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus tindarius,DSM 2278,"It is a methanogen archaeon. It is marine, mesophilic, coccoid, lobal and monotrichous flagellated.",ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_50_collection/methanolobus_tindarius_dsm_2278/pep/,Waleed
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,Methanosaeta thermophila,PT,"does not interact with other species, thermophile",ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_23_collection/methanosaeta_thermophila_pt/pep/,Waleed
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,Methanosaeta concilii(prefered),GP6,"mesophile,æas a ætype species of methanosaeta by a 1990 paper(http://www.researchgate.net/profile/Girishchandra_Patel/publication/44068533_Methanosaeta_concilii_gen_nov._sp._nov._(_Methanothrix_concilii_)_and_Methanosaeta_thermoacetophila_nom._rev._comb._nov/links/00463517fc85be9dd0000000.pdf)",ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_7_collection/methanosaeta_concilii_gp6/pep/,Waleed
Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella paludicola,SANAE,"hydrogenotrophic methanogen, mesophilic",ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_3_collection/methanocella_paludicola_sanae/pep/,Waleed
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium thermoautotrophicium,null,"lithoautotrophic methanogen, thermophilic",not on Ensembl (needs to be searched for),null
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii,ATCC35061,Present in fecal contamination. multiple strains ,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_0_collection/methanobrevibacter_smithii_atcc_35061/pep/,Waleed
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanoregulaceae,Methanolinea,Methanolinea tarda,null,null,null,null
